titre,nb_tranches,nb_cris,cri_type_dom,danger_max,danger_moy,danger_std,env_moy,rms_moy,peak_moy,centroid_moy,bandwidth_moy,mfcc_moy,pcen_moy
synth_capital_0.wav,5,5,bebe,71.34446965541002,59.83040301580941,8.91364130827584,2.0,0.14333623691490027,0.8165395785569572,5413.33203837838,3523.658466258108,-46.18774096724799,0.2008499298764333
synth_major_1.wav,8,8,adulte,55.587990935298606,43.52021504878259,8.981063368189378,2.375,0.11755699180582614,0.6854610937061283,3180.7362981316255,2495.0576652992077,-17.23536653582517,0.270705589922196
synth_worker_2.wav,7,0,aucun,26.224748000774557,19.599047526743924,5.351748090924427,2.142857142857143,0.045385409943653705,0.2879764621248521,1690.7767091673609,1929.3800535902178,-18.93109432744381,0.14091758250430494
synth_research_3.wav,5,0,aucun,21.71677375565225,19.84264699819932,1.342575203413914,1.8,0.05426031760269673,0.27009823276080747,2309.7527891403565,1977.9563726200372,-21.565121774782817,0.15454024558810592
synth_lay_4.wav,3,3,adulte,48.215004067285,44.602812801310506,3.442413365317824,3.0,0.10395942209550484,0.7406014605832928,3068.125766463561,2448.1822233086273,-7.567342590518997,0.3296105132925467
synth_cup_5.wav,8,8,enfant,64.05978944953833,54.734451114119636,5.346143624654069,2.25,0.17902452951389392,0.9300627962810935,3920.4275317206384,2842.412130429213,-27.38774261983088,0.23542074201646013
synth_fill_6.wav,8,8,enfant,56.5883858226856,46.692176332135475,10.04922865776805,2.625,0.13875172214296985,0.737364840147458,3802.307707819057,2997.6127791418367,-25.279968510327194,0.25771919626996587
synth_subject_7.wav,7,7,enfant,60.58506542206829,51.27757124477584,5.433377195290026,2.5714285714285716,0.20034851585589905,0.9209834324062528,3687.525077443275,3050.0347115797995,-28.59142021119243,0.26435433386435603
synth_accept_8.wav,4,0,aucun,28.570177442552968,18.993116804481215,5.591314752157458,2.25,0.031188574439431824,0.21033616816255907,2067.437052526294,2213.3447979997154,-24.441317623638685,0.16296943447970003
synth_where_9.wav,7,0,aucun,32.87850369704026,26.756989373094548,4.251858460811736,2.0,0.08200191288796989,0.47533459940127204,1997.0324320262423,1993.146467633545,0.40246208876268746,0.12573901822105676
synth_between_10.wav,7,0,aucun,26.750094027453777,17.831027640869625,5.061871698476523,1.5714285714285714,0.05105571927860999,0.27283246849525816,2050.0703945066402,1517.0221145852902,-35.443431110970536,0.1847035096187552
synth_consumer_11.wav,3,2,adulte,38.08208581696107,31.728827893419425,7.163916198648004,2.6666666666666665,0.09717605333929212,0.5477864021436726,2545.519728593244,2209.291002141605,-30.177969780129104,0.29151792742528376
synth_air_12.wav,4,3,adulte,55.64844785465321,38.546730564992494,13.94360071163305,3.0,0.14904473086399195,0.6895645423305501,2371.0606079266913,2331.4543081586335,-5.576781230068302,0.16006138340371928
